"Standard Report - Imports"
"Current date: 06/02/2026 12:48 AM (Eastern Daylight Time)"
"Commodity","Country","Time","Customs Value (Gen) ($US)",
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","January 2024","180,388,802"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","February 2024","183,525,068"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","March 2024","191,895,368"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","April 2024","312,180,348"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","May 2024","569,309,741"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","June 2024","538,420,481"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","July 2024","382,197,912"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","August 2024","231,950,252"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","September 2024","215,596,149"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","October 2024","189,564,898"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","November 2024","174,289,871"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","December 2024","210,281,226"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","January 2025","208,938,470"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","February 2025","134,062,559"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","March 2025","146,843,798"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","April 2025","393,525,536"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","May 2025","582,109,590"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","June 2025","638,724,828"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","July 2025","508,400,168"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","August 2025","256,391,004"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","September 2025","226,210,251"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","October 2025","203,760,543"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","November 2025","185,444,677"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","December 2025","208,112,743"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","January 2026","180,809,590"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","February 2026","201,988,893"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","March 2026","196,803,729"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","January 2024","264,058,558"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","February 2024","249,825,640"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","March 2024","260,949,475"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","April 2024","211,655,869"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","May 2024","234,613,667"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","June 2024","240,404,460"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","July 2024","226,910,760"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","August 2024","249,064,372"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","September 2024","225,437,741"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","October 2024","239,196,853"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","November 2024","199,855,696"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","December 2024","253,278,275"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","January 2025","272,629,633"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","February 2025","239,998,243"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","March 2025","277,613,445"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","April 2025","223,552,716"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","May 2025","240,072,919"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","June 2025","211,211,092"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","July 2025","216,954,374"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","August 2025","220,170,975"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","September 2025","210,414,500"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","October 2025","203,304,773"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","November 2025","228,413,687"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","December 2025","241,167,939"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","January 2026","260,478,438"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","February 2026","226,567,039"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","March 2026","220,079,922"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","January 2024","123,457,893"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","February 2024","114,316,523"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","March 2024","64,893,180"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","April 2024","56,674,447"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","May 2024","92,561,114"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","June 2024","103,970,021"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","July 2024","121,074,399"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","August 2024","104,806,442"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","September 2024","108,767,593"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","October 2024","102,492,377"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","November 2024","113,927,949"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","December 2024","141,385,976"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","January 2025","150,655,810"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","February 2025","156,525,413"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","March 2025","93,406,594"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","April 2025","70,023,095"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","May 2025","67,092,760"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","June 2025","45,129,985"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","July 2025","97,655,942"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","August 2025","86,417,104"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","September 2025","63,517,265"
